participant_id,n_trials,n_blocks,fit_time_s,is_first_fit,memory_before_mb,memory_after_mb,nll,converged
10000,988,17,50.5952046025883,False,2289.81640625,2268.78125,800.2333374023438,True
9187,990,17,50.5952046025883,False,2289.81640625,2268.78125,868.35302734375,True
10002,986,17,50.5952046025883,False,2289.81640625,2268.78125,588.0910034179688,True
10003,973,17,50.5952046025883,False,2289.81640625,2268.78125,691.4432373046875,False
10004,990,17,50.5952046025883,False,2289.81640625,2268.78125,426.96832275390625,True
10005,985,17,50.5952046025883,False,2289.81640625,2268.78125,543.6268310546875,True
10006,987,17,50.5952046025883,False,2289.81640625,2268.78125,492.57830810546875,True
10007,987,17,50.5952046025883,False,2289.81640625,2268.78125,926.5408935546875,True
10016,987,17,50.5952046025883,False,2289.81640625,2268.78125,540.2252807617188,True
10017,986,17,50.5952046025883,False,2289.81640625,2268.78125,488.3165588378906,True
10018,986,17,50.5952046025883,False,2289.81640625,2268.78125,674.19921875,True
10024,718,17,50.5952046025883,False,2289.81640625,2268.78125,411.1085510253906,True
10025,414,17,50.5952046025883,False,2289.81640625,2268.78125,259.891845703125,True
10027,718,17,50.5952046025883,False,2289.81640625,2268.78125,327.5609130859375,True
10028,699,17,50.5952046025883,False,2289.81640625,2268.78125,703.7728271484375,True
10029,720,17,50.5952046025883,False,2289.81640625,2268.78125,326.07305908203125,True
10030,716,17,50.5952046025883,False,2289.81640625,2268.78125,303.139892578125,True
10031,719,17,50.5952046025883,False,2289.81640625,2268.78125,443.34039306640625,True
10035,717,17,50.5952046025883,False,2289.81640625,2268.78125,421.7774658203125,True
10036,713,17,50.5952046025883,False,2289.81640625,2268.78125,551.6913452148438,True
10039,711,17,50.5952046025883,False,2289.81640625,2268.78125,465.67156982421875,True
10041,696,17,50.5952046025883,False,2289.81640625,2268.78125,670.4503784179688,True
10043,716,17,50.5952046025883,False,2289.81640625,2268.78125,,False
10047,717,17,50.5952046025883,False,2289.81640625,2268.78125,500.2859802246094,True
10048,702,17,50.5952046025883,False,2289.81640625,2268.78125,566.6344604492188,True
10050,717,17,50.5952046025883,False,2289.81640625,2268.78125,460.24725341796875,True
10051,709,17,50.5952046025883,False,2289.81640625,2268.78125,392.55859375,True
10052,709,17,50.5952046025883,False,2289.81640625,2268.78125,542.3814086914062,True
10055,719,17,50.5952046025883,False,2289.81640625,2268.78125,413.4758605957031,True
10057,712,17,50.5952046025883,False,2289.81640625,2268.78125,541.0053100585938,True
10058,697,17,50.5952046025883,False,2289.81640625,2268.78125,531.8897094726562,True
10059,718,17,50.5952046025883,False,2289.81640625,2268.78125,388.07550048828125,True
10062,718,17,50.5952046025883,False,2289.81640625,2268.78125,276.76220703125,True
